REGION,EMISSION,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
EU27,EUCO2_ETS,15.57073904,24.58537743,23.76586485,53.26831777,73.7561323,75.39515746,77.8536952,77.8536952,77.8536952,77.8536952,77.8536952,77.8536952,77.8536952,78.67320779,79.49272037,80.31223295,81.13174553,81.95125811,81.95125811,81.95125811,81.95125811,81.95125811,81.95125811,91.78540908,101.6195601,111.453711,121.287862,131.122013,136.0390885,140.9561639,145.8732394,150.7903149,155.7073904,160.6244659,165.5415414,170.4586169,175.3756924,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678,180.2927678
EU27,EUCO2_ESR,0,0,0,0,0,0,0,0,0,24.58537743,40.97562906,45.07319196,45.07319196,85.22930843,92.60492166,99.98053489,107.3561481,114.7317614,139.3171388,163.9025162,188.4878937,213.0732711,237.6586485,260.6050008,283.5513531,306.4977053,329.4440576,352.3904099,362.2245608,372.0587118,381.8928628,391.7270138,401.5611647,406.4782402,411.3953157,416.3123912,421.2294667,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422,426.1465422
